Title,Title_URL,Image,ipclockupoverlay_URL,Title1,Title2,ipcratingstar,ipcratingstarrate,Content,scf24f1c5c0
1. The Kerala Story,https://www.imdb.com/title/tt24268454/?ref_=sr_t_1,"https://m.media-amazon.com/images/M/MV5BYTlkZWMxYTQtY2UzYi00NTRmLTk3ZTMtZjQxZmNhNWFlMWEwXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_QL75_UY207_CR13,0,140,207_.jpg",https://www.imdb.com/title/tt24268454/?ref_=sr_i_1,2023,2h 18m,"7.1
 (69K)",Rate,"A converted Muslim woman Fatima Ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an ISIS terrorist and landed in Afghanistan jail.","Votes69,198"
2. Neru,https://www.imdb.com/title/tt28358950/?ref_=sr_t_2,"https://m.media-amazon.com/images/M/MV5BMTNjODdkNzUtZWEzOC00MWJjLWJmYzMtYjM3NjQyM2M4NzI5XkEyXkFqcGdeQXVyNTI0NzYwMTI@._V1_QL75_UX140_CR0,1,140,207_.jpg",https://www.imdb.com/title/tt28358950/?ref_=sr_i_2,2023,2h 30m,"7.6
 (5.6K)",Rate,"Sara, a blind sculptor, seeks justice after suffering trauma. She contends with the legal system and her own resilience to find resolution.","Votes5,587"
3. Kannur Squad,https://www.imdb.com/title/tt25274786/?ref_=sr_t_3,"https://m.media-amazon.com/images/M/MV5BNTMxZTQ1ZmEtOWM3Ny00MGQzLTgyMjgtZGMzNDM0YjVhZjMzXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt25274786/?ref_=sr_i_3,2023,2h 41m,"7.7
 (7.5K)",Rate,"The gripping saga of a police officer and his team, their challenging journey to nab a criminal gang across the country. Further, it shows how he leads his team towards triumph, amidst professional uncertainties in this gripping drama.","Votes7,475"
4. Bhoothakaalam,https://www.imdb.com/title/tt15560626/?ref_=sr_t_4,"https://m.media-amazon.com/images/M/MV5BNTYzZGFhMjctMzc5Yi00MDE5LWFiZWUtMWFmMTUxM2E5NGYxXkEyXkFqcGdeQXVyODgyNTQ1NzI@._V1_QL75_UY207_CR13,0,140,207_.jpg",https://www.imdb.com/title/tt15560626/?ref_=sr_i_4,2022,1h 45m,"7.5
 (3.9K)",Rate,"Following the death of a family member, a mother and son experience mysterious events which distort their sense of reality and make them question their sanity.","Votes3,863"
5. Curry & Cyanide: The Jolly Joseph Case,https://www.imdb.com/title/tt30177031/?ref_=sr_t_5,"https://m.media-amazon.com/images/M/MV5BYjEyNWY5OTYtZjY4Ny00N2MwLTljOTItMzU4YzIyMWViNDgyXkEyXkFqcGdeQXVyMTczODE3MjQ4._V1_QL75_UX140_CR0,21,140,207_.jpg",https://www.imdb.com/title/tt30177031/?ref_=sr_i_5,2023,1h 38m,"6.7
 (3.3K)",Rate,"The real life case of Jolly Joseph, a lady suspected of planning the cyanide poisoning of six family members over more than ten years, including a two-year-old kid.","Votes3,280"
6. Kaathal - The Core,https://www.imdb.com/title/tt22818604/?ref_=sr_t_6,"https://m.media-amazon.com/images/M/MV5BNjM5Nzg0Y2UtMDhiYS00NGNiLWExZjYtN2E4OWQyYjkyYWNhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt22818604/?ref_=sr_i_6,2023,1h 54m,"7.6
 (3.2K)",Rate,"Mathew, a retired bank secretary, reluctantly enters politics for a by-election. The movie delves into their marriage dynamics, justice, and personal fulfillment amidst a tight-knit village community.","Votes3,234"
7. Iratta,https://www.imdb.com/title/tt25406500/?ref_=sr_t_7,"https://m.media-amazon.com/images/M/MV5BZTM2NDI0N2UtOTA1OS00ZWUyLTljNjEtMzM4MWEyZDYyM2VkXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt25406500/?ref_=sr_i_7,2023,1h 52m,"7.7
 (4.8K)",Rate,"After a cop is found dead, a policeman's investigation starts a chilling search for the truth connected to his estranged twin and their fraught past.","Votes4,786"
8. Romancham,https://www.imdb.com/title/tt20249418/?ref_=sr_t_8,"https://m.media-amazon.com/images/M/MV5BOWRkNDBiMTAtMmJmZi00MzlmLWJjMzUtNDg2YmUzMzRlZmVlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR13,0,140,207_.jpg",https://www.imdb.com/title/tt20249418/?ref_=sr_i_8,2023,2h 10m,"7.5
 (6.5K)",Rate,A game of Ouija board goes hilariously wrong when seven bachelors unexpectedly invite a spirit and try to make the best out of the situation.,"Votes6,517"
9. 2018,https://www.imdb.com/title/tt9006564/?ref_=sr_t_9,"https://m.media-amazon.com/images/M/MV5BZWFhZjBjY2ItMmZmMC00N2RjLTg2ZjktNDUwNmYwNmVjMDA5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt9006564/?ref_=sr_i_9,2023,2h 30m,"8.4
 (11K)",Rate,A disaster film set during the 2018 Kerala Floods where people from all walks of life faced catastrophic consequences and put in collective efforts to survive the calamity.,"Votes11,477"
10. Queen Elizabeth,https://www.imdb.com/title/tt27411207/?ref_=sr_t_10,"https://m.media-amazon.com/images/M/MV5BNmI5YmIwMzAtMmRhNS00MTM2LWJkNjQtMDE2NjVkNTdjYjdjXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_QL75_UY207_CR34,0,140,207_.jpg",https://www.imdb.com/title/tt27411207/?ref_=sr_i_10,2023,1h 59m,"4.4
 (501)",Rate,"Impending death changes an arrogant, cold, self-centered person into a loving, friendly person - practically overnight - is what we see in this romantic comedy drama.",Votes501
